chr	start	stop
RREB1	chr6	7107597	7251980
SSR1	chr6	7268306	7347446
DSP	chr6	7541617	7586714
EEF1E1	chr6	8073360	8102559
HULC	chr6	8435568	9294133
TMEM14C	chr6	10722915	10731129
TMEM14B	chr6	10747759	10852753
ELOVL2	chr6	10980759	11044305
NEDD9	chr6	11183298	11382348
GFOD1	chr6	13357830	13487662
NOL7	chr6	13615335	13632739
MCUR1	chr6	13786557	13814568
CD83	chr6	14117256	14136918
MYLIP	chr6	16129086	16148248
CAP2	chr6	17393505	17557790
FAM8A1	chr6	17600302	17611715
TPMT	chr6	18128311	18155077
DEK	chr6	18223860	18264548
RNF144B	chr6	18387350	18468870
SOX4	chr6	21593751	21598619
ALDH5A1	chr6	24494867	24537207
TDP2	chr6	24649979	24666930
ACOT13	chr6	24667035	24705065
C6orf62	chr6	24704861	24719998
GMNN	chr6	24774931	24786099
SLC17A4	chr6	25754699	25781199
BTN3A2	chr6	26365159	26378320
ABT1	chr6	26596953	26600739
ZSCAN16-AS1	chr6	28015122	28137293
TRIM27	chr6	28903002	28923988
UBD	chr6	29555515	29559732
HLA-F	chr6	29722775	29738528
HLA-A	chr6	29941260	29945884
ZNRD1	chr6	30058899	30064909
PPP1R11	chr6	30066709	30070333
HLA-E	chr6	30489509	30494194
GNL1	chr6	30541377	30557174
ABCF1	chr6	30571393	30597179
PPP1R10	chr6	30600413	30618612
MRPS18B	chr6	30617840	30626395
PPP1R18	chr6	30676389	30687895
TUBB	chr6	30720352	30725426
FLOT1	chr6	30727709	30742732
IER3	chr6	30743199	30744548
HLA-C	chr6	31268749	31272130
HLA-B	chr6	31269491	31357188
LST1	chr6	31586124	31588909
AIF1	chr6	31615217	31617021
PRRC2A	chr6	31620715	31637771
BAG6	chr6	31639028	31652705
APOM	chr6	31652416	31658210
GPANK1	chr6	31661228	31666283
CSNK2B	chr6	31665236	31670343
DDAH2	chr6	31727038	31730617
CLIC1	chr6	31730581	31739763
LSM2	chr6	31797396	31806966
HSPA1A	chr6	31815543	31817946
HSPA1B	chr6	31827738	31830254
NEU1	chr6	31857659	31862822
EHMT2	chr6	31879759	31897687
C2	chr6	31897785	31945672
CFB	chr6	31945650	31952084
NELFE	chr6	31952087	31959038
ATF6B	chr6	32115264	32128253
AGPAT1	chr6	32168212	32178096
RNF5	chr6	32178405	32180793
PBX2	chr6	32184733	32190202
NOTCH4	chr6	32194843	32224067
HLA-DRA	chr6	32439878	32445046
HLA-DRB5	chr6	32517353	32530287
HLA-DRB1	chr6	32578769	32589848
HLA-DQA1	chr6	32628179	32647062
HLA-DQB1	chr6	32659467	32668383
HLA-DQA2	chr6	32741391	32747198
PSMB8	chr6	32840717	32844679
PSMB9	chr6	32844136	32859851
TAP1	chr6	32845209	32853978
HLA-DMB	chr6	32934629	32941028
HLA-DMA	chr6	32948613	32969094
BRD2	chr6	32968594	32981505
HLA-DPA1	chr6	33064569	33080775
HLA-DPB1	chr6	33075990	33089696
SLC39A7	chr6	33200445	33204439
HSD17B8	chr6	33204655	33206831
RING1	chr6	33208500	33212722
RPS18	chr6	33272075	33276511
WDR46	chr6	33279108	33289247
PFDN6	chr6	33289302	33298401
RGL2	chr6	33291654	33298942
TAPBP	chr6	33299694	33314387
CUTA	chr6	33416442	33418317
UQCC2	chr6	33694293	33711727
HMGA1	chr6	34236873	34246231
NUDT3	chr6	34279679	34392669
RPS10	chr6	34417454	34426069
SNRPC	chr6	34757505	34773857
TAF11	chr6	34877462	34888071
RPL10A	chr6	35468401	35470785
FKBP5	chr6	35573585	35728583
SRPK1	chr6	35832966	35921342
MAPK14	chr6	36027677	36111236
KCTD20	chr6	36442767	36491143
SRSF3	chr6	36594353	36605600
CDKN1A	chr6	36676460	36687337
C6orf89	chr6	36871870	36928964
MTCH1	chr6	36968141	36986298
PIM1	chr6	37170152	37175428
CCDC167	chr6	37482938	37499893
ZFAND3	chr6	37819727	38154624
GLO1	chr6	38675925	38703145
OARD1	chr6	41033627	41097787
MRPS10	chr6	42206807	42217861
RPL7L1	chr6	42879616	42889925
CNPY3	chr6	42929192	42939294
GNMT	chr6	42960754	42963880
MEA1	chr6	43011143	43016868
KLHDC3	chr6	43014103	43021298
RRP36	chr6	43021623	43034156
KLC4	chr6	43040777	43075095
MRPL2	chr6	43054029	43059438
DNPH1	chr6	43225629	43229481
SLC22A7	chr6	43295694	43305538
YIPF3	chr6	43511832	43516985
MRPS18A	chr6	43671303	43687791
VEGFA	chr6	43770184	43786487
MRPL14	chr6	44113451	44127452
SLC29A1	chr6	44219553	44234142
HSP90AB1	chr6	44246166	44253888
SLC35B2	chr6	44254096	44257890
CDC5L	chr6	44387706	44450425
CD2AP	chr6	47477789	47627263
TMEM14A	chr6	52671113	52686588
GSTA1	chr6	52791371	52803860
FBXO9	chr6	53051991	53100873
ELOVL5	chr6	53267398	53349179
GCLC	chr6	53497341	53616970
DST	chr6	56457987	56954649
ZNF451	chr6	57086844	57170305
BAG2	chr6	57172326	57189833
PTP4A1	chr6	63521746	63583436
PHF3	chr6	63635802	63779336
LMBRD1	chr6	69672757	69867236
SMAP1	chr6	70667776	70862011
EEF1A1	chr6	73515750	73523797
SLC17A5	chr6	73593379	73653992
COX7A2	chr6	75237675	75250323
TMEM30A	chr6	75252924	75284948
FILIP1	chr6	75291859	75493800
SENP6	chr6	75601509	75718281
MYO6	chr6	75749192	75919537
PHIP	chr6	78934419	79078254
HMGN3	chr6	79201245	79234738
SH3BGRL2	chr6	79631329	79703655
IBTK	chr6	82169986	82247754
NT5E	chr6	85449584	85495791
SYNCRIP	chr6	85607785	85643792
ZNF292	chr6	87152833	87265943
AKIRIN2	chr6	87674860	87702233
PNRC1	chr6	89080751	89085160
UBE2J1	chr6	89326625	89352722
LYRM2	chr6	89568144	89638749
UFL1	chr6	96521595	96555276
NDUFAF4	chr6	96889315	96897891
PNISR	chr6	99398050	99425331
CCNC	chr6	99542387	99568825
ASCC3	chr6	100508194	100881372
PRDM1	chr6	105993463	106109939
ATG5	chr6	106045423	106325791
SEC63	chr6	107867756	107958208
SNX3	chr6	108211222	108261246
FOXO3	chr6	108559835	108684774
CD164	chr6	109366514	109382467
CDC40	chr6	110180141	110254275
AMD1	chr6	110874770	110898879
GTF3C6	chr6	110958706	110967890
RPF2	chr6	110982015	111028263
REV3L	chr6	111299028	111483715
FYN	chr6	111660332	111873452
FAM229B	chr6	112087591	112102790
LAMA4	chr6	112107931	112254939
MARCKS	chr6	113857345	113863475
HDAC2	chr6	113933028	114011308
NT5DC1	chr6	116100851	116249497
TSPYL1	chr6	116267760	116279930
RWDD1	chr6	116571409	116597675
GOPC	chr6	117560269	117602542
MAN1A1	chr6	119177205	119349761
GJA1	chr6	121435595	121449727
SERINC1	chr6	122443351	122471807
SMPDL3A	chr6	122789049	122809720
TPD52L1	chr6	125119049	125264407
NCOA7	chr6	125781161	125932034
RNF146	chr6	127266682	127288567
ECHDC1	chr6	127288712	127343609
PTPRK	chr6	127968779	128520674
ARHGAP18	chr6	129576132	129710177
SMLR1	chr6	130827406	130837135
EPB41L2	chr6	130839347	131063322
ARG1	chr6	131470832	131584332
ENPP1	chr6	131808016	131895155
STX7	chr6	132445867	132513198
VNN1	chr6	132680849	132714055
RPS12	chr6	132814569	132817564
SGK1	chr6	134169246	134318112
ALDH8A1	chr6	134917393	134950115
HBS1L	chr6	134960378	135103056
AHI1	chr6	135283532	135497765
BCLAF1	chr6	136256627	136289851
IFNGR1	chr6	137197485	137219449
TNFAIP3	chr6	137867214	137883312
PERP	chr6	138088505	138107419
HEBP2	chr6	138403531	138422197
ABRACL	chr6	139028745	139043302
CITED2	chr6	139371807	139374648
AIG1	chr6	143060496	143341058
PHACTR2	chr6	143536845	143831185
LTV1	chr6	143843338	143863812
SF3B5	chr6	144094884	144095573
UTRN	chr6	144285701	144853034
SHPRH	chr6	145864245	145964423
RAB32	chr6	146543833	146554953
GINM1	chr6	149566294	149591748
PCMT1	chr6	149749443	149811420
AKAP12	chr6	151239967	151358559
SYNE1	chr6	152121684	152637801
MYCT1	chr6	152697895	152724567
MTRF1L	chr6	152987362	153002709
CNKSR3	chr6	154387515	154510685
ARID1B	chr6	156776020	157210779
ZDHHC14	chr6	157381133	157678157
SNX9	chr6	157700387	157945077
GTF2H5	chr6	158168350	158199344
TMEM181	chr6	158536436	158635428
DYNLT1	chr6	158636474	158644743
EZR	chr6	158765741	158819368
SOD2	chr6	159669069	159762529
WTAP	chr6	159725585	159756319
ACAT2	chr6	159762045	159779112
TCP1	chr6	159778498	159789703
MRPL18	chr6	159789812	159798436
PLG	chr6	160702238	160754097
QKI	chr6	163414000	163578592
SFT2D1	chr6	166319728	166342576
MPC1	chr6	166364919	166383013
RNASET2	chr6	166922113	166957191
PHF10	chr6	169703902	169725566
PSMB1	chr6	170535120	170553307
PDCD2	chr6	170575295	170584692
SUN1	chr7	816615	896435
COX19	chr7	898778	975549
C7orf50	chr7	996986	1138260
ZFAND2A	chr7	1152071	1160759
MAFK	chr7	1530702	1543043
PSMG3	chr7	1567332	1571005
EIF3B	chr7	2354086	2380745
CHST12	chr7	2403588	2448484
WIPI2	chr7	5190196	5233840
ACTB	chr7	5526409	5563902
FSCN1	chr7	5592816	5606655
AIMP2	chr7	6009255	6023834
EIF2AK1	chr7	6022247	6059175
RAC1	chr7	6374527	6403967
KDELR2	chr7	6445953	6484190
ZDHHC4	chr7	6577434	6589374
RPA3	chr7	7636518	7718607
ICA1	chr7	8113184	8262687
NDUFA4	chr7	10931943	10940153
PHF14	chr7	10973336	11169623
THSD7A	chr7	11370365	11832198
TMEM106B	chr7	12211270	12243367
ARL4A	chr7	12686856	12690958
AGMO	chr7	15200317	15562015
BZW2	chr7	16646131	16706523
AHR	chr7	16916359	17346152
SNX13	chr7	17790761	17940501
TWISTNB	chr7	19695461	19709037
RAPGEF5	chr7	22118236	22357154
TOMM7	chr7	22812628	22822852
GPNMB	chr7	23235967	23275108
MALSU1	chr7	23298739	23311729
TRA2A	chr7	23504780	23532041
CYCS	chr7	25118656	25125260
HNRNPA2B1	chr7	26173057	26201529
CBX3	chr7	26201162	26213607
SKAP2	chr7	26667068	26995239
HIBADH	chr7	27525442	27662883
TAX1BP1	chr7	27739331	27844564
GGCT	chr7	30496621	30504841
AQP1	chr7	30911853	30925517
LSM5	chr7	32485338	32495283
KBTBD2	chr7	32868172	32894131
FKBP9	chr7	32957404	33006930
STARD3NL	chr7	38178222	38230671
RALA	chr7	39623565	39708120
MPLKIP	chr7	40126027	40134622
MRPL32	chr7	42932376	42948958
STK17A	chr7	43582758	43650713
COA1	chr7	43608456	43729717
DBNL	chr7	44044640	44069456
POLD2	chr7	44114681	44124358
NUDCD3	chr7	44379119	44490658
DDX56	chr7	44565417	44575051
TMED4	chr7	44577894	44582287
PPIA	chr7	44796680	44824564
PURB	chr7	44876299	44885530
CCM2	chr7	44999475	45076469
RAMP3	chr7	45157791	45186302
IGFBP3	chr7	45912245	45921874
TNS3	chr7	47275154	47582558
UPP1	chr7	48088628	48108736
GRB10	chr7	50590063	50793462
SEC61G	chr7	54752250	54759974
EGFR	chr7	55019017	55211628
VOPP1	chr7	55436056	55572988
CCT6A	chr7	56051685	56063989
SUMF2	chr7	56064002	56080670
CHCHD2	chr7	56101573	56106476
ZNF680	chr7	64519878	64563075
GUSB	chr7	65960684	65982215
ASL	chr7	66075800	66094697
TMEM248	chr7	66921225	66958551
SBDS	chr7	66987680	66995587
BAZ1B	chr7	73440406	73522293
BCL7B	chr7	73536356	73557690
MLXIPL	chr7	73593194	73624543
CLDN3	chr7	73768997	73770270
ELN	chr7	74027789	74069907
EIF4H	chr7	74174245	74197101
GTF2I	chr7	74650231	74760692
RHBDD2	chr7	75842602	75888926
POR	chr7	75899200	75986855
MDH2	chr7	76048051	76067508
HSPB1	chr7	76302673	76304295
YWHAG	chr7	76326799	76358991
FGL2	chr7	77193369	77199848
PTPN12	chr7	77537295	77640069
RSBN1L	chr7	77696459	77783022
GNAI1	chr7	79768028	80226181
CD36	chr7	80369575	80679277
TP53TG1	chr7	87322943	87345528
ABCB4	chr7	87401696	87480435
ABCB1	chr7	87503017	87713323
SRI	chr7	88205115	88226993
AKAP9	chr7	91940862	92110673
KRIT1	chr7	92198969	92246166
GATAD1	chr7	92447482	92460075
FAM133B	chr7	92560758	92590393
CDK6	chr7	92604921	92836573
TFPI2	chr7	93885396	93890753
GNG11	chr7	93921735	93928610
BET1	chr7	93962762	94004382
COL1A2	chr7	94394895	94431227
SGCE	chr7	94524204	94656572
PEG10	chr7	94656325	94669695
PON1	chr7	95297676	95324532
PON3	chr7	95359872	95396375
PON2	chr7	95404862	95435329
PDK4	chr7	95583499	95596516
SLC25A13	chr7	96120220	96322147
BRI3	chr7	98252379	98310441
ARPC1A	chr7	99325898	99366262
ARPC1B	chr7	99374249	99394816
PDAP1	chr7	99392048	99408597
BUD31	chr7	99408641	99419616
ZNF655	chr7	99558406	99576453
CYP3A5	chr7	99648194	99679998
AZGP1	chr7	99966720	99976042
ZKSCAN1	chr7	100015572	100041689
COPS6	chr7	100088969	100092187
MCM7	chr7	100092728	100101940
LAMTOR4	chr7	100148907	100155944
PPP1R35	chr7	100435282	100436497
PCOLCE	chr7	100602363	100608175
TFR2	chr7	100620416	100642779
GNB2	chr7	100673567	100679174
POP7	chr7	100706121	100707486
EPHB4	chr7	100802565	100827523
TRIP6	chr7	100867387	100873454
TRIM56	chr7	101085481	101097967
AP1S1	chr7	101154456	101161596
PLOD3	chr7	101205977	101218420
ZNHIT1	chr7	101218165	101224190
FIS1	chr7	101239458	101252316
CUX1	chr7	101815904	102283958
POLR2J	chr7	102473118	102478907
POLR2J3	chr7	102537918	102572653
ARMC10	chr7	103074881	103099759
PMPCB	chr7	103297435	103329511
DNAJC2	chr7	103312289	103344830
PSMC2	chr7	103344254	103369395
KMT2E	chr7	105014190	105115019
SRPK2	chr7	105110704	105399308
SYPL1	chr7	106090503	106112576
NAMPT	chr7	106248298	106286326
HBP1	chr7	107168961	107202522
BCAP29	chr7	107579977	107629170
DLD	chr7	107891162	107931730
LAMB1	chr7	107923799	108003187
PNPLA8	chr7	108470417	108569666
DNAJB9	chr7	108569867	108574850
IMMP2L	chr7	110662644	111562517
IFRD1	chr7	112422887	112481017
TES	chr7	116210506	116258783
CAV2	chr7	116287380	116508541
CAV1	chr7	116525001	116561184
MET	chr7	116672196	116798386
CAPZA2	chr7	116811070	116922049
TSPAN12	chr7	120787320	120858402
FAM3C	chr7	121348878	121396364
NDUFA5	chr7	123536997	123557904
WASL	chr7	123681943	123749003
ZNF800	chr7	127346790	127431924
ARF5	chr7	127588386	127591700
SND1	chr7	127652194	128092609
RBM28	chr7	128297685	128343908
CALU	chr7	128739292	128773400
ATP6V1F	chr7	128862856	128865847
UBE2H	chr7	129830732	129952960
KLHDC10	chr7	130070534	130135705
MKLN1	chr7	131110096	131496632
PODXL	chr7	131500262	131558217
AKR1B1	chr7	134442356	134459284
AKR1B10	chr7	134527567	134541412
CALD1	chr7	134744252	134970729
CNOT4	chr7	135361795	135510127
MTPN	chr7	135926760	135977359
ZC3HAV1	chr7	139043515	139109720
HIPK2	chr7	139561570	139777998
MKRN1	chr7	140453033	140479536
NDUFB2	chr7	140690777	140722790
MRPS33	chr7	141002610	141015228
SSBP1	chr7	141738334	141787922
GSTK1	chr7	143244093	143270854
ZYX	chr7	143381295	143391111
CUL1	chr7	148697914	148801110
PDIA4	chr7	149003062	149028662
ATP6V0E2	chr7	149872968	149891204
LRRC61	chr7	150323263	150338156
RARRES2	chr7	150338317	150341662
REPIN1	chr7	150368189	150374044
GIMAP7	chr7	150514872	150521073
GIMAP4	chr7	150567369	150573953
GIMAP1	chr7	150716606	150724284
TMEM176B	chr7	150791285	150801360
TMEM176A	chr7	150800403	150805118
FASTK	chr7	151076593	151080866
TMUB1	chr7	151081085	151083493
NUB1	chr7	151341699	151378449
RHEB	chr7	151466012	151520120
PRKAG2	chr7	151556124	151877125
KMT2C	chr7	152134922	152436003
INSIG1	chr7	155297776	155310235
DNAJB6	chr7	157335381	157417439
PTPRN2	chr7	157539056	158587823
FBXO25	chr8	406428	477967
ERICH1	chr8	614746	738106
ANGPT2	chr8	6499632	6563409
DEFB1	chr8	6870592	6877936
PPP1R3B	chr8	9136255	9151574
MSRA	chr8	10054292	10428891
SOX7	chr8	10723768	10730511
FDFT1	chr8	11795573	11839304
CTSB	chr8	11842524	11869448
DLC1	chr8	13083361	13604610
CNOT7	chr8	17224966	17246878
SLC7A2	chr8	17497088	17570573
MTUS1	chr8	17643795	17800917
FGL1	chr8	17864380	17910365
PCM1	chr8	17922840	18027975
ASAH1	chr8	18055992	18084998
SLC39A14	chr8	22367249	22434129
SORBS3	chr8	22544986	22575788
PDLIM2	chr8	22578279	22598025
TNFRSF10D	chr8	23135588	23164027
SLC25A37	chr8	23528956	23575463
STC1	chr8	23841929	23854806
PPP2R2A	chr8	26291508	26372680
BNIP3L	chr8	26383054	26505636
DPYSL2	chr8	26514031	26658178
EPHX2	chr8	27490781	27545564
CLU	chr8	27596917	27614700
CCDC25	chr8	27733316	27772653
HMBOX1	chr8	28890395	29064764
DUSP4	chr8	29333064	29350684
LEPROTL1	chr8	30095408	30177208
DCTN6	chr8	30156319	30183639
RBPMS	chr8	30384511	30572256
PPP2CB	chr8	30774457	30814314
EIF4EBP1	chr8	38030534	38060365
LSM1	chr8	38163335	38176730
FGFR1	chr8	38400215	38468834
TACC1	chr8	38728186	38853028
GOLGA7	chr8	41490396	41510980
KAT6A	chr8	41929479	42051994
PLAT	chr8	42174718	42207676
VDAC3	chr8	42391624	42405937
SMIM19	chr8	42541155	42555195
HOOK3	chr8	42896946	43030535
CEBPD	chr8	47736913	47738164
PRKDC	chr8	47773111	47960178
UBE2V2	chr8	48008415	48064708
PCMTD1	chr8	51817575	51899186
RB1CC1	chr8	52622458	52745843
ATP6V1H	chr8	53715543	53843558
TCEA1	chr8	53966552	54022456
LYPLA1	chr8	54046367	54102017
MRPL15	chr8	54135241	54148514
SOX17	chr8	54457935	54460892
RPS20	chr8	56067295	56074581
CHCHD7	chr8	56211686	56218809
CYP7A1	chr8	58490178	58500163
SDCBP	chr8	58552924	58582859
RAB2A	chr8	60516936	60623644
CHD7	chr8	60678740	60868028
ASPH	chr8	61500556	61714640
GGH	chr8	63015079	63038806
TTPA	chr8	63048553	63086053
YTHDF3	chr8	63168553	63212786
ARMC1	chr8	65602458	65634217
COPS5	chr8	67043079	67083783
NCOA2	chr8	70109782	70403808
TRAM1	chr8	70573218	70608416
LACTB2	chr8	70635318	70669185
TERF1	chr8	73008864	73048123
RPL7	chr8	73290242	73295789
RDH10	chr8	73294602	73325281
STAU2	chr8	73420369	73747708
UBE2W	chr8	73780097	73878910
TMEM70	chr8	73972437	73982783
LY96	chr8	73991392	74029079
PEX2	chr8	76980258	77001044
HEY1	chr8	79762371	79767857
MRPS28	chr8	79918717	80030289
TPD52	chr8	80034745	80231232
FABP5	chr8	81280536	81284777
FABP4	chr8	81478419	81483236
CA2	chr8	85463968	85481493
WWP1	chr8	86342547	86478420
RMDN1	chr8	86468257	86514357
CPNE3	chr8	86514435	86561498
DECR1	chr8	90001405	90053633
TRIQK	chr8	92883532	93017673
TP53INP1	chr8	94925972	94949378
PLEKHF2	chr8	95133785	95156685
UQCRB	chr8	96222947	96235546
PTDSS1	chr8	96261902	96336995
SDC2	chr8	96493813	96611790
CPQ	chr8	96645242	97149654
MTDH	chr8	97644184	97730260
LAPTM4B	chr8	97775057	97853013
RPL30	chr8	98024851	98046469
COX6C	chr8	99873200	99893707
POLR2K	chr8	100150623	100154003
RNF19A	chr8	100257060	100336218
PABPC1	chr8	100685816	100722809
YWHAZ	chr8	100916523	100953388
ZNF706	chr8	101177878	101206193
UBR5	chr8	102252273	102412759
KLF10	chr8	102648784	102655725
AZIN1	chr8	102826308	102893864
ATP6V1C1	chr8	103021063	103073051
DCAF13	chr8	103414714	103443453
DPYS	chr8	104330324	104467055
OXR1	chr8	106359476	106752694
EIF3E	chr8	108201216	108435333
EMC2	chr8	108443601	108489196
ENY2	chr8	109334324	109345954
EBAG9	chr8	109539711	109565996
EIF3H	chr8	116642130	116766925
RAD21	chr8	116845934	116874776
MED30	chr8	117520713	117540262
EXT1	chr8	117794490	118111826
MAL2	chr8	119165034	119245673
ENPP2	chr8	119557086	119673453
MRPL13	chr8	120380761	120445402
SNTB1	chr8	120535745	120813273
DERL1	chr8	123013170	123042302
ZHX1	chr8	123248451	123275541
FAM91A1	chr8	123768439	123815452
TATDN1	chr8	124488485	124539458
NDUFB9	chr8	124539101	124580648
MTSS1	chr8	124550784	124728473
SQLE	chr8	124998497	125022283
NSMCE2	chr8	125091679	125367120
TRIB1	chr8	125430358	125438403
MYC	chr8	127735434	127742951
ASAP1	chr8	130052104	130443674
EFR3A	chr8	131904093	132013642
PHF20L1	chr8	132775358	132848807
NDRG1	chr8	133237175	133302022
ST3GAL1	chr8	133454848	133571940
CHRAC1	chr8	140511311	140517154
PTK2	chr8	140657900	141002216
LY6E	chr8	143017982	143023832
GSDMD	chr8	143553207	143563062
EEF1D	chr8	143579697	143599541
TSTA3	chr8	143612618	143618048
PUF60	chr8	143816344	143829352
PLEC	chr8	143915147	143976734
PARP10	chr8	143977153	144012772
GRINA	chr8	143990056	143993415
EXOSC4	chr8	144078648	144080648
GPAA1	chr8	144082590	144086216
CYC1	chr8	144095039	144097525
SHARPIN	chr8	144098633	144108124
MAF1	chr8	144104461	144107611
HSF1	chr8	144291591	144314720
VPS28	chr8	144423601	144428563
CYHR1	chr8	144449582	144465677
PPP1R16A	chr8	144477969	144502121
GPT	chr8	144502973	144507174
C8orf82	chr8	144525733	144529132
RPL8	chr8	144789765	144792587
C8orf33	chr8	145052465	145066685
KANK1	chr9	470291	746106
SMARCA2	chr9	1980290	2193624
CDC37L1	chr9	4679559	4708399
AK3	chr9	4709556	4742043
KIAA2026	chr9	5881596	6008482
IL33	chr9	6215786	6257983
NFIB	chr9	14081843	14398983
PSIP1	chr9	15464066	15510995
RRAGA	chr9	19049427	19051025
PLIN2	chr9	19108375	19149290
DENND4C	chr9	19230435	19373545
RPS6	chr9	19375715	19380236
CDKN2A	chr9	21967753	21995301
TEK	chr9	27109141	27230174
ACO1	chr9	32384603	32454769
TOPORS	chr9	32540544	32552586
NDUFB6	chr9	32553001	32573184
DNAJA1	chr9	33025273	33039907
B4GALT1	chr9	33104082	33167356
BAG1	chr9	33247820	33264720
CHMP5	chr9	33264879	33282070
NFX1	chr9	33290512	33371157
UBE2R2	chr9	33817160	33920399
NUDT2	chr9	34329506	34343711
RPP25L	chr9	34610486	34612104
DCTN3	chr9	34613545	34620523
SIGMAR1	chr9	34634722	34637809
GALT	chr9	34638133	34651035
IL11RA	chr9	34650702	34661902
VCP	chr9	35056064	35072627
STOML2	chr9	35099776	35103195
CCDC107	chr9	35658290	35661511
TPM2	chr9	35681992	35690056
TLN1	chr9	35696948	35732195
GBA2	chr9	35736866	35749228
HINT2	chr9	35812960	35815354
CLTA	chr9	36190856	36304781
GRHPR	chr9	37422666	37436990
TOMM5	chr9	37582646	37592604
DCAF10	chr9	37800554	37867666
ALDH1B1	chr9	38392702	38398661
TJP2	chr9	69121264	69274615
SMC5	chr9	70258978	70354873
KLF9	chr9	70384597	70414624
ZFAND5	chr9	72351413	72365235
ALDH1A1	chr9	72900671	73080442
ANXA1	chr9	73151865	73170393
NMRK1	chr9	75060573	75088217
PCSK5	chr9	75890644	76362975
RFK	chr9	76385526	76394517
VPS13A	chr9	77177445	77421537
GNAQ	chr9	77716097	78031811
PSAT1	chr9	78297125	78330093
TLE4	chr9	79571773	79726882
TLE1	chr9	81583683	81689547
UBQLN1	chr9	83659968	83707958
HNRNPK	chr9	83968083	83980616
GOLM1	chr9	86026146	86100173
ISCA1	chr9	86264546	86283102
CTSL	chr9	87726109	87731469
SPIN1	chr9	88388430	88478694
CKS2	chr9	89311195	89316703
SECISBP2	chr9	89318500	89359663
GADD45G	chr9	89605012	89606555
SUSD3	chr9	93058688	93085133
NINJ1	chr9	93121496	93134251
FAM120A	chr9	93451685	93566112
FBP1	chr9	94603133	94640249
XPA	chr9	97674909	97697340
ANP32B	chr9	97983341	98015943
NANS	chr9	98056732	98083077
COL15A1	chr9	98943179	99070792
SEC61B	chr9	99222064	99230615
ERP44	chr9	99979185	100099000
BAAT	chr9	101354182	101385400
MRPL50	chr9	101387633	101398618
ALDOB	chr9	101420560	101449664
SMC2	chr9	104094260	104141419
NIPSNAP3A	chr9	104747683	104760120
ABCA1	chr9	104781006	104928155
SLC44A1	chr9	105244622	105439171
RAD23B	chr9	107283137	107332192
KLF4	chr9	107484852	107490482
TMEM245	chr9	109015135	109119947
TXN	chr9	110243810	110256507
PTGR1	chr9	111549722	111599893
UGCG	chr9	111896814	111935369
PTBP3	chr9	112217716	112333664
HSDL2	chr9	112380080	112472405
SLC31A1	chr9	113221544	113264492
CDC26	chr9	113255835	113275572
HDHD3	chr9	113373419	113376999
ALAD	chr9	113386312	113401290
POLE3	chr9	113407235	113410675
RGS3	chr9	113444731	113597743
AMBP	chr9	114060127	114078328
COL27A1	chr9	114155537	114312511
ORM1	chr9	114323056	114326475
ORM2	chr9	114329869	114333251
ATP6V1G1	chr9	114587769	114598879
FBXW2	chr9	120751978	120793416
C5	chr9	120952335	121050275
RAB14	chr9	121178133	121223014
GSN	chr9	121207794	121332843
STOM	chr9	121338987	121370304
NDUFA8	chr9	122144058	122159779
NEK6	chr9	124257606	124353307
PSMB7	chr9	124353465	124415444
RPL35	chr9	124857880	124861981
ARPC5L	chr9	124862130	124877733
PPP6C	chr9	125146573	125189939
RABEPK	chr9	125200542	125234161
HSPA5	chr9	125234853	125241343
MAPKAP1	chr9	125437393	125707234
ZBTB43	chr9	126805006	126838210
RPL12	chr9	127447674	127451406
PTRH1	chr9	127690348	127724873
FPGS	chr9	127794597	127814327
ENG	chr9	127815013	127854658
AK1	chr9	127866486	127877675
DPM2	chr9	127935099	127937854
SLC25A25	chr9	128068201	128109245
PTGES2	chr9	128120693	128128462
LCN2	chr9	128149071	128153453
C9orf16	chr9	128160265	128163924
GOLGA2	chr9	128255829	128275995
SWI5	chr9	128275379	128316123
TRUB2	chr9	128305159	128322447
COQ4	chr9	128322544	128334072
URM1	chr9	128371361	128392016
SPTAN1	chr9	128552558	128633662
SET	chr9	128683424	128696400
ZDHHC12	chr9	128720870	128724127
LRRC8A	chr9	128882133	128918039
CRAT	chr9	129094794	129111189
IER5L	chr9	129175552	129178261
NTMT1	chr9	129608884	129636135
C9orf78	chr9	129827290	129835863
FNBP1	chr9	129887187	130043194
ASS1	chr9	130444961	130501274
FUBP3	chr9	130578965	130638352
PRRC2B	chr9	131373636	131500197
RAPGEF1	chr9	131576770	131740074
SETX	chr9	132261356	132354986
RALGDS	chr9	133097720	133149334
SURF6	chr9	133328776	133336188
RPL7A	chr9	133348218	133351426
SURF1	chr9	133351758	133356676
SURF2	chr9	133356550	133361158
SURF4	chr9	133361450	133376166
REXO4	chr9	133406059	133418096
BRD3	chr9	134030305	134068535
RXRA	chr9	134317098	134440585
MRPS2	chr9	135499984	135504673
PMPCA	chr9	136410641	136423761
EGFL7	chr9	136658856	136672678
AGPAT2	chr9	136673143	136687457
SNHG7	chr9	136721366	136728184
TMEM141	chr9	136791344	136793317
PHPT1	chr9	136848724	136851027
EDF1	chr9	136862119	136866308
FBXW5	chr9	136940435	136944738
C8G	chr9	136945185	136946975
NPDC1	chr9	137039463	137046179
MAN1B1	chr9	137086985	137109183
DPP7	chr9	137110546	137115177
SSNA1	chr9	137188660	137190370
TMEM203	chr9	137204082	137205648
TUBB4B	chr9	137241287	137243707
